Trimestre,Valores Reales,Regresion Lineal,Regresion Cuadratica,Regresion Exponencial,Holt-Winters,ARIMA
2007Q1,1833000.0,-40390301.28787875,54103440.334650636,-289618419.5030212,-178137.637642039,0.0
2007Q2,6195000.0,-23069115.107470017,58239453.265404075,-138331387.2733181,36104209.68209055,243835.00630708016
2007Q3,34016000.0,-5747928.927061282,63003331.58899824,-49834146.57354885,34054892.475819394,4942485.679856136
2007Q4,34745450.0,11573257.253347456,68395075.30543314,12955644.956384957,80210968.26944765,25257451.35399991
2008Q1,23720000.0,28894443.433756188,74414684.41470876,61659191.02325624,44786786.22101559,40787232.448876634
2008Q2,40007150.0,46215629.61416492,81062158.91682513,101452885.65615422,54658084.127250046,21967786.851197742
2008Q3,82988300.0,63536815.794573665,88337498.81178221,135097975.07052308,73921599.73418006,37580878.876674145
2008Q4,168831800.0,80858001.9749824,96240704.09958002,164242677.18608797,104952304.64296928,75407935.36749296
2009Q1,177659903.0,98179188.15539113,104771774.78021857,189950126.35592347,138808778.05743834,156442281.18208152
2009Q2,173561126.0,115500374.33579987,113930710.85369784,212946223.25295937,183586939.39985436,185559424.67266038
2009Q3,164481455.0,132821560.51620859,123717512.32001784,233748723.28221345,215772212.1700067,168173334.43095738
2009Q4,191724755.0,150142746.69661734,134132179.17917858,252739917.88585728,238620271.24366865,170605018.94898322
2010Q1,158876197.0,167463932.87702608,145174711.43118003,270210123.3994636,202151650.09571183,181314954.7803101
2010Q2,228717085.0,184785119.0574348,156845109.07602224,286385007.30022615,181439611.00818086,173810204.7757257
2010Q3,219005638.0,202106305.23784354,169143372.11370516,301443463.95272857,226133233.9441834,202692280.10058647
2010Q4,263524360.0,219427491.41825226,182069500.5442288,315529709.4157911,274556411.09708506,241617934.3698309
2011Q1,219787788.0,236748677.598661,195623494.36759317,328761703.09893256,258880302.49243045,236562398.43557313
2011Q2,244275418.0,254069863.77906972,209805353.5837983,341237158.5856264,280267404.60768646,250040356.12934226
2011Q3,215627478.0,271391049.9594785,224615078.1928441,353037927.1327608,256428677.84906217,215310866.21034297
2011Q4,245755091.0,288712236.1398872,240052668.1947307,364233255.4826624,285098961.8058152,244412494.92633158
2012Q1,222048800.0,306033422.32029593,256118123.58945796,374882247.9999954,241905729.5496595,216812986.79377505
2012Q2,220249563.0,323354608.5007047,272811444.37702596,385035755.5119166,274948274.00112146,249815678.74776796
2012Q3,267505866.0,340675794.6811134,290132630.55743474,394737843.93603474,238969528.8922802,198578114.2283124
2012Q4,316743315.0,357996980.86152214,308081682.13068426,404026950.11556035,305397087.2615198,275139019.8581471
2013Q1,233214037.0,375318167.0419309,326658599.09677446,412936801.54953367,297917222.196902,300719458.4738204
2013Q2,277179933.0,392639353.22233963,345863381.4557054,421497155.62916666,291609813.18732876,262837637.47291583
2013Q3,327105733.0,409960539.40274835,365696029.20747703,429734399.2853958,313826239.8391998,244771423.55381063
2013Q4,335189430.0,427281725.58315706,386156542.3520894,437672039.5299292,364516140.3883473,342720212.9251375
2014Q1,364632771.0,444602911.76356584,407244920.8895426,445331107.8781288,301780595.13813066,321161440.76175445
2014Q2,389721118.0,461924097.94397455,428961164.8198364,452730496.18243164,385892297.0776171,369806085.08438027
2014Q3,401197965.0,479245284.1243833,451305274.14297104,459887237.37875396,430083693.30542296,380537543.63370985
2014Q4,541215865.0,496566470.30479205,474277248.8589463,466816741.64549416,439445856.4862784,406163197.2850788
2015Q1,472575739.0,513887656.48520076,497877088.96776235,473532996.2116857,487477384.6406256,508935288.87929475
2015Q2,516806660.0,531208842.6656095,522104794.4694191,480048735.32863563,503984961.1857686,512086967.1450416
2015Q3,568780706.0,548530028.8460182,546960365.3639166,486375585.5968005,538593998.3767866,476497611.44947034
2015Q4,725854593.0,565851215.0264269,572443801.6512549,492524190.8153296,637101048.6730723,590250704.414308
2016Q1,532617761.0,583172401.2068357,598555103.3314338,498504319.7220208,626812917.3602097,677023475.7405686
2016Q2,609335895.0,600493587.3872445,625294270.4044535,504324959.362464,613075640.4396856,610482474.4323511
2016Q3,558895127.0,617814773.5676532,652661302.870314,509994396.3289358,646463382.6651151,532013562.0774538
2016Q4,781455415.0,635135959.7480619,680656200.7290151,515520287.71236545,707704709.6519932,630468394.06307
2017Q1,677783175.0,652457145.9284706,709278963.9805568,520909723.29194516,608846901.4254296,679607107.9782195
2017Q2,735093484.0,669778332.1088793,738529592.6249396,526169280.2296985,722263335.0570866,779594762.9226768
2017Q3,716779010.0,687099518.2892882,768408086.6621629,531305071.3284969,727625224.5500839,642694845.9628489
2017Q4,921353915.0,704420704.4696969,798914446.0922269,536322787.7416195,900958655.2819002,793814536.5545592
2018Q1,,721741890.6501056,830048670.9151318,541227736.882201,771422261.8171374,818810998.258784
2018Q2,,739063076.8305143,861810761.1308773,546024876.1657379,823237125.9728781,920945257.6105814
2018Q3,,756384263.010923,894200716.7394634,550718843.123483,811308764.4191352,819218027.0533935
2018Q4,,773705449.1913317,927218537.7408905,555313982.3452635,995224258.6222674,920539850.9204519
