datesold,price
02/07/2007 0:00,525000
02/27/2007 0:00,290000
03/07/2007 0:00,328000
03/09/2007 0:00,380000
03/21/2007 0:00,310000
04/04/2007 0:00,465000
04/24/2007 0:00,399000
04/30/2007 0:00,1530000
05/24/2007 0:00,359000
05/25/2007 0:00,320000
06/26/2007 0:00,385000
06/27/2007 0:00,305000
06/27/2007 0:00,850000
06/28/2007 0:00,765000
06/30/2007 0:00,517000
07/02/2007 0:00,800000
07/03/2007 0:00,336000
07/06/2007 0:00,535000
07/07/2007 0:00,900000
07/08/2007 0:00,327000
07/12/2007 0:00,427500
07/13/2007 0:00,780000
07/18/2007 0:00,530000
07/18/2007 0:00,590000
07/20/2007 0:00,525000
07/20/2007 0:00,549000
07/21/2007 0:00,1780000
07/30/2007 0:00,446000
07/30/2007 0:00,558000
07/31/2007 0:00,506000
07/31/2007 0:00,520000
08/03/2007 0:00,383000
08/03/2007 0:00,520000
08/07/2007 0:00,815000
08/10/2007 0:00,545500
08/10/2007 0:00,760000
08/11/2007 0:00,520000
08/11/2007 0:00,636000
08/14/2007 0:00,625000
08/16/2007 0:00,790000
08/21/2007 0:00,320000
08/21/2007 0:00,418000
08/21/2007 0:00,455000
08/23/2007 0:00,560000
08/24/2007 0:00,585000
08/28/2007 0:00,325000
08/28/2007 0:00,420000
08/29/2007 0:00,599000
08/30/2007 0:00,315000
08/30/2007 0:00,367000
08/31/2007 0:00,348000
08/31/2007 0:00,532500
09/03/2007 0:00,465000
09/04/2007 0:00,820000
09/06/2007 0:00,590000
09/11/2007 0:00,559000
09/15/2007 0:00,446000
09/18/2007 0:00,470000
09/20/2007 0:00,396500
09/20/2007 0:00,479000
09/21/2007 0:00,1460000
09/22/2007 0:00,500000
09/22/2007 0:00,506000
09/22/2007 0:00,520000
09/24/2007 0:00,920000
09/27/2007 0:00,507000
10/02/2007 0:00,475000
10/09/2007 0:00,397000
10/10/2007 0:00,556000
10/12/2007 0:00,447000
10/12/2007 0:00,720000
10/15/2007 0:00,273000
10/16/2007 0:00,368000
10/16/2007 0:00,385000
10/17/2007 0:00,560000
10/19/2007 0:00,455000
10/19/2007 0:00,480000
10/24/2007 0:00,300500
10/24/2007 0:00,505000
10/25/2007 0:00,135500
10/25/2007 0:00,590000
